observaciones,pozos
14,5 PRESIDENTES-12--
6,5 PRESIDENTES-145D-
1,5 PRESIDENTES-151--
5,5 PRESIDENTES-151D-
3,5 PRESIDENTES-160T-
13,5 PRESIDENTES-164--
14,5 PRESIDENTES-165--
14,5 PRESIDENTES-170--
8,5 PRESIDENTES-173D-
14,5 PRESIDENTES-2--
14,5 PRESIDENTES-28--
14,5 PRESIDENTES-29C-
14,5 PRESIDENTES-43D-
3,5 PRESIDENTES-68--
1,5 PRESIDENTES-7D-
13,5 PRESIDENTES-7T-
13,5 PRESIDENTES-803--
14,5 PRESIDENTES-901--
14,5 PRESIDENTES-902--
5,5 PRESIDENTES-903--
14,5 PRESIDENTES-904--
8,5 PRESIDENTES-905--
14,5 PRESIDENTES-906--
14,5 PRESIDENTES-908--
14,5 PRESIDENTES-908D-
14,5 PRESIDENTES-909--
14,5 PRESIDENTES-909D-
14,5 PRESIDENTES-910--
14,5 PRESIDENTES-911--
8,5 PRESIDENTES-912--
14,5 PRESIDENTES-913--
3,5 PRESIDENTES-914--
8,5 PRESIDENTES-915--
3,5 PRESIDENTES-916--
13,5 PRESIDENTES-917--
14,5 PRESIDENTES-918--
14,5 PRESIDENTES-919--
9,5 PRESIDENTES-920--
14,5 PRESIDENTES-921--
1,5 PRESIDENTES-922--
5,5 PRESIDENTES-923--
14,5 PRESIDENTES-924--
2,5 PRESIDENTES-925--
6,5 PRESIDENTES-928--
1,5 PRESIDENTES-929--
1,5 PRESIDENTES-930--
1,5 PRESIDENTES-931--
9,5 PRESIDENTES-932--
14,5 PRESIDENTES-935--
14,5 PRESIDENTES-936--
14,5 PRESIDENTES-938--
3,5 PRESIDENTES-950--
12,5 PRESIDENTES-955--
14,5 PRESIDENTES-956--
14,5 PRESIDENTES-957--
3,5 PRESIDENTES-958--
14,5 PRESIDENTES-963--
14,ABKATUN-211--
14,ABKATUN-216--
14,ABKATUN-221--
14,ABKATUN-223--
14,ABKATUN-35--
14,ABKATUN-37--
14,ABKATUN-53-A
13,ABKATUN-57--
14,ABKATUN-73--
14,ABKATUN-91-A
12,ABKATUN-93-B
14,ABKATUN-93-D
14,ABKATUN-97-D
14,ACAHUAL-1--
1,ACEITERO-1--
14,ACUATEMPA-18--
14,ACUATEMPA-19--
14,ACUATEMPA-24--
14,ACUATEMPA-27--
11,ACUATEMPA-30--
14,ACUATEMPA-33--
14,ACUATEMPA-34--
14,ACUATEMPA-4--
14,ADULARIA-1--
14,AGAVE-242--
14,AGAVE-303--
10,AGAVE-512--
14,AGAVE-52--
14,AGAVE-611--
14,AGAVE-612--
9,AGAVE-62--
13,AGAVE-64--
14,AGAVE-65--
14,AGAVE-721--
12,AGUA FRIA-10--
14,AGUA FRIA-1007--
14,AGUA FRIA-1025--
14,AGUA FRIA-1027--
14,AGUA FRIA-1043--
14,AGUA FRIA-1045--
2,AGUA FRIA-1065--
14,AGUA FRIA-1067--
14,AGUA FRIA-1087--
14,AGUA FRIA-11--
1,AGUA FRIA-118--
14,AGUA FRIA-12--
1,AGUA FRIA-128--
14,AGUA FRIA-1313--
3,AGUA FRIA-132--
14,AGUA FRIA-1321--
12,AGUA FRIA-1335--
14,AGUA FRIA-1337--
13,AGUA FRIA-1353--
14,AGUA FRIA-1355--
14,AGUA FRIA-1357--
14,AGUA FRIA-136--
13,AGUA FRIA-1373--
14,AGUA FRIA-1375--
14,AGUA FRIA-1377--
14,AGUA FRIA-138--
14,AGUA FRIA-1395--
14,AGUA FRIA-1397--
14,AGUA FRIA-14--
12,AGUA FRIA-146--
13,AGUA FRIA-158--
12,AGUA FRIA-1629--
11,AGUA FRIA-1647--
13,AGUA FRIA-1649--
12,AGUA FRIA-1669--
1,AGUA FRIA-19--
1,AGUA FRIA-2--
14,AGUA FRIA-21--
14,AGUA FRIA-24--
3,AGUA FRIA-26--
13,AGUA FRIA-263--
14,AGUA FRIA-265--
14,AGUA FRIA-281--
13,AGUA FRIA-282--
14,AGUA FRIA-283--
5,AGUA FRIA-2831--
14,AGUA FRIA-285--
12,AGUA FRIA-301--
14,AGUA FRIA-302--
14,AGUA FRIA-303--
14,AGUA FRIA-3035--
14,AGUA FRIA-3037--
14,AGUA FRIA-3039--
14,AGUA FRIA-305--
14,AGUA FRIA-3057--
14,AGUA FRIA-3059--
14,AGUA FRIA-3077--
14,AGUA FRIA-3079--
13,AGUA FRIA-3099--
10,AGUA FRIA-311--
14,AGUA FRIA-312--
14,AGUA FRIA-313--
12,AGUA FRIA-315--
14,AGUA FRIA-3156--
13,AGUA FRIA-321--
14,AGUA FRIA-3215--
13,AGUA FRIA-322--
14,AGUA FRIA-323--
14,AGUA FRIA-324--
14,AGUA FRIA-3253--
13,AGUA FRIA-3259--
14,AGUA FRIA-3287--
13,AGUA FRIA-3289--
12,AGUA FRIA-331--
12,AGUA FRIA-332--
9,AGUA FRIA-333--
14,AGUA FRIA-334--
8,AGUA FRIA-341--
13,AGUA FRIA-342--
13,AGUA FRIA-344--
13,AGUA FRIA-351--
13,AGUA FRIA-353--
13,AGUA FRIA-357--
9,AGUA FRIA-362--
14,AGUA FRIA-364--
12,AGUA FRIA-37--
14,AGUA FRIA-373--
12,AGUA FRIA-374--
13,AGUA FRIA-376--
13,AGUA FRIA-378--
14,AGUA FRIA-384--
11,AGUA FRIA-392--
13,AGUA FRIA-394--
11,AGUA FRIA-396--
13,AGUA FRIA-398--
14,AGUA FRIA-4--
12,AGUA FRIA-44--
1,AGUA FRIA-46--
13,AGUA FRIA-469--
14,AGUA FRIA-48--
13,AGUA FRIA-481--
14,AGUA FRIA-487--
14,AGUA FRIA-489--
14,AGUA FRIA-501--
13,AGUA FRIA-504--
12,AGUA FRIA-505--
10,AGUA FRIA-506--
13,AGUA FRIA-507--
3,AGUA FRIA-509--
13,AGUA FRIA-511--
13,AGUA FRIA-512--
13,AGUA FRIA-513--
13,AGUA FRIA-516--
2,AGUA FRIA-517--
14,AGUA FRIA-519--
2,AGUA FRIA-521--
1,AGUA FRIA-522--
13,AGUA FRIA-523--
1,AGUA FRIA-524--
13,AGUA FRIA-525--
14,AGUA FRIA-526--
13,AGUA FRIA-527--
12,AGUA FRIA-529--
13,AGUA FRIA-531--
9,AGUA FRIA-532--
14,AGUA FRIA-533--
1,AGUA FRIA-539--
2,AGUA FRIA-541--
1,AGUA FRIA-542--
1,AGUA FRIA-544--
1,AGUA FRIA-545--
3,AGUA FRIA-546--
14,AGUA FRIA-547--
1,AGUA FRIA-548--
14,AGUA FRIA-549--
14,AGUA FRIA-551--
14,AGUA FRIA-552--
14,AGUA FRIA-554--
14,AGUA FRIA-557--
14,AGUA FRIA-559--
14,AGUA FRIA-561--
14,AGUA FRIA-563--
14,AGUA FRIA-564--
14,AGUA FRIA-5640--
14,AGUA FRIA-565--
14,AGUA FRIA-566--
3,AGUA FRIA-567--
14,AGUA FRIA-568--
14,AGUA FRIA-569--
13,AGUA FRIA-571--
11,AGUA FRIA-572--
3,AGUA FRIA-573--
12,AGUA FRIA-574--
14,AGUA FRIA-577--
14,AGUA FRIA-579--
14,AGUA FRIA-581--
14,AGUA FRIA-582--
14,AGUA FRIA-583--
14,AGUA FRIA-584--
14,AGUA FRIA-585--
1,AGUA FRIA-586--
14,AGUA FRIA-5860--
14,AGUA FRIA-587--
14,AGUA FRIA-588--
13,AGUA FRIA-59--
3,AGUA FRIA-591--
14,AGUA FRIA-593--
